what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1362525366692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525366714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525437851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525442113
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362525449004
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1362525459668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525471647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525480005
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1362525481193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525481451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525605735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525608390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525652827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525655312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525716560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525738873
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525745460
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525745511
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1362525745538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525745559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525754353
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525769761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525769793
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1362525769796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525769822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362525804118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525807089
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525814188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362525814227
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1362525814231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362525814259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362526159994
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1362526189865
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362526189983
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362526190061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362526190093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362526748426
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1362526750343
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362526750865
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1362526752163
